service_id,date,exception_type
246073124607941,20250224,1
246078924607963,20250423,1
246078924607963,20250430,1
246079024607974,20250501,1
246072424607941,20250303,1
246072424607941,20250428,1
246072024607974,20250213,1
246072024607974,20250227,1
246072024607974,20250306,1
246072024607974,20250403,1
246072024607974,20250424,1
246074324607506,20250308,1
246071624607587,20250316,1
246073524607635,20250307,1
246073524607635,20250328,1
246071524607576,20250215,1
246071524607576,20250315,1
246073024607576,20250322,1
246072324607587,20250323,1
246073024607647,20250323,1
246074424607647,20250323,1
246074424607646,20250329,1
246073024607643,20250226,1
246073024607641,20250303,1
246073024607642,20250304,1
246073024607644,20250306,1
246073024607641,20250317,1
246073024607643,20250326,1
246071624607642,20250211,1
246071624607647,20250216,1
246071624607643,20250219,1
246071624607641,20250224,1
246071624607641,20250303,1
246071624607644,20250306,1
246071624607643,20250312,1
246071624607646,20250315,1
246071424607646,20250208,1
246071424607645,20250221,1
246071424607646,20250315,1
246071624607202,20250211,1
246073024607624,20250227,1
246072624607284,20250220,1
246071124607212,20250211,1
246073224607632,20250225,1
246073224607634,20250327,1
246072424607251,20250217,1
246073624607366,20250301,1
246075724607576,20250322,1
246075024607646,20250322,1
246073024607587,20250223,1
246071624607377,20250302,1
246074424607587,20250316,1
246074424607587,20250323,1
246071624607221,20250210,1
246072324607292,20250218,1
246072324607294,20250220,1
246073024607503,20250226,1
246073024607502,20250311,1
246075124607561,20250317,1
246075124607565,20250321,1
246075924607641,20250324,1
246075924607645,20250328,1
246071024607214,20250206,1
246071024607215,20250214,1
246072524607284,20250220,1
246073124607633,20250226,1
246073124607634,20250227,1
246073024607367,20250223,1
246071024607203,20250205,1
246073124607621,20250224,1
246073124607622,20250304,1
246073124607623,20250312,1
246071424607635,20250214,1
246073124607354,20250227,1
246073124607355,20250228,1
246073824607634,20250313,1
246073824607635,20250321,1
246071424607215,20250207,1
246072824607635,20250314,1
246072424607282,20250218,1
246075924607635,20250328,1
246073024607433,20250226,1
246073024607432,20250304,1
246073024607434,20250306,1
246074424607497,20250309,1
246074424607491,20250310,1
246074424607495,20250314,1
246073024607363,20250226,1
