from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
33,33,,,246071524607226+1164828+0,246071524607366+1162738+0,1,
33,33,,,246076424607646+1164828+0,246075024607646+1162738+0,1,
33,33,,,246075824607587+1164839+0,246075124607587+1162739+0,1,
33,33,,,246073124607621+1159625+1,246073124607621+1159457+1,1,
33,33,,,246071024607201+1159649+1,246071024607201+1159498+1,1,
33,33,,,246071424607635+1159650+1,246071424607635+1159499+1,1,
33,33,,,246071024607201+1159657+1,246071024607201+1159502+1,1,
33,33,,,246072524607272+1159660+1,246072524607272+1159504+1,1,
33,33,,,246071424607635+1159665+1,246071424607635+1159513+1,1,
33,33,,,246072524607272+1159668+1,246072524607272+1159516+1,1,
33,33,,,246072524607274+1159668+1,246072524607274+1159516+1,1,
33,33,,,246071024607203+1159672+0,246071024607203+1158234+0,1,
33,33,,,246072524607274+1159672+0,246072524607274+1158234+0,1,
33,33,,,246072524607273+1159674+0,246072524607273+1159522+0,1,
33,33,,,246073124607622+1159680+0,246073124607622+1159528+0,1,
33,33,,,246073124607623+1159680+0,246073124607623+1159528+0,1,
33,33,,,246071024607204+1159680+0,246071024607204+1159528+0,1,
33,33,,,246071424607635+1159681+0,246071424607635+1159529+0,1,
33,33,,,246071024607203+1159686+0,246071024607203+1159532+0,1,
33,33,,,246071024607204+1159694+0,246071024607204+1159544+0,1,
33,33,,,246073124607621+1159694+0,246073124607621+1159544+0,1,
33,33,,,246073124607622+1159694+0,246073124607622+1159544+0,1,
33,33,,,246071424607635+1159695+0,246071424607635+1159545+0,1,
33,33,,,246071024607203+1159699+0,246071024607203+1159550+0,1,
33,33,,,246071424607635+1159700+0,246071424607635+1159551+0,1,
33,33,,,246073124607622+1159703+0,246073124607622+1159558+0,1,
33,33,,,246071024607201+1159936+0,246071024607201+1159568+0,1,
33,33,,,246073124607622+1159936+0,246073124607622+1159568+0,1,
33,33,,,246073124607623+1160000+0,246073124607623+1159572+0,1,
33,33,,,246071424607635+1160001+0,246071424607635+1159573+0,1,
33,33,,,246071024607203+1160015+0,246071024607203+1159574+0,1,
